Team1,Team1Score,Team2,Team2Score
Miami Heat,93,Washington Wizards,114
Charlotte Bobcats,95,Atlanta Hawks,93
Orlando Magic,95,Chicago Bulls,108
San Antonio Spurs,98,Houston Rockets,104
Oklahoma City Thunder,89,New Orleans Pelicans,101
Los Angeles Lakers,119,Utah Jazz,104
Memphis Grizzlies,97,Phoenix Suns,91
Minnesota Timberwolves,120,Golden State Warriors,130
New York Knicks,109,Brooklyn Nets,98
Denver Nuggets,105,Los Angeles Clippers,117
Chicago Bulls,86,Charlotte Bobcats,91
Indiana Pacers,101,Orlando Magic,86
Washington Wizards,118,Boston Celtics,102
Brooklyn Nets,85,Cleveland Cavaliers,114
Dallas Mavericks,105,Memphis Grizzlies,106
Philadelphia 76ers,100,Miami Heat,87
Atlanta Hawks,111,Milwaukee Bucks,103
Utah Jazz,136,Minnesota Timberwolves,130
Houston Rockets,100,New Orleans Pelicans,105
Toronto Raptors,92,New York Knicks,95
Detroit Pistons,111,Oklahoma City Thunder,112
Los Angeles Lakers,113,San Antonio Spurs,100
Golden State Warriors,116,Denver Nuggets,112
Los Angeles Clippers,104,Portland Trail Blazers,110
Phoenix Suns,104,Sacramento Kings,99
Brooklyn Nets,94,Toronto Raptors,87
Golden State Warriors,109,Los Angeles Clippers,105
Atlanta Hawks,101,Indiana Pacers,93
Memphis Grizzlies,86,Oklahoma City Thunder,100
Dallas Mavericks,85,San Antonio Spurs,90
Charlotte Bobcats,88,Miami Heat,99
Washington Wizards,102,Chicago Bulls,93
Portland Trail Blazers,122,Houston Rockets,120
Memphis Grizzlies,111,Oklahoma City Thunder,105
Golden State Warriors,98,Los Angeles Clippers,138
Atlanta Hawks,85,Indiana Pacers,101
Brooklyn Nets,95,Toronto Raptors,100
Washington Wizards,101,Chicago Bulls,99
Charlotte Bobcats,97,Miami Heat,101
Dallas Mavericks,113,San Antonio Spurs,92
Portland Trail Blazers,112,Houston Rockets,105
Indiana Pacers,85,Atlanta Hawks,98
Oklahoma City Thunder,95,Memphis Grizzlies,98
Los Angeles Clippers,98,Golden State Warriors,96
Toronto Raptors,98,Brooklyn Nets,102
Chicago Bulls,100,Washington Wizards,97
Houston Rockets,121,Portland Trail Blazers,116
Indiana Pacers,91,Atlanta Hawks,88
San Antonio Spurs,108,Dallas Mavericks,109
Miami Heat,98,Charlotte Bobcats,85
Oklahoma City Thunder,92,Memphis Grizzlies,89
Chicago Bulls,89,Washington Wizards,98
Los Angeles Clippers,97,Golden State Warriors,118
Toronto Raptors,87,Brooklyn Nets,79
Houston Rockets,120,Portland Trail Blazers,123
Miami Heat,109,Charlotte Bobcats,98
Atlanta Hawks,107,Indiana Pacers,97
San Antonio Spurs,93,Dallas Mavericks,89
Washington Wizards,75,Chicago Bulls,69
Memphis Grizzlies,100,Oklahoma City Thunder,99
Golden State Warriors,103,Los Angeles Clippers,113
Dallas Mavericks,103,San Antonio Spurs,109
Brooklyn Nets,113,Toronto Raptors,115
Portland Trail Blazers,98,Houston Rockets,108
