TEAM_ABBREVIATION,GAME_ID,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
CLE,0021801081,CLE vs. LAC,L,241,108,43,90,0.478,12,31.0,0.387,10,13,0.769,8.0,33.0,41.0,14,7.0,2,13,22,-2.0
CLE,0021801065,CLE vs. MIL,W,239,107,39,93,0.419,11,39.0,0.282,18,24,0.75,13.0,41.0,54.0,18,4.0,6,11,17,5.0
CLE,0021801050,CLE vs. DET,W,239,126,46,79,0.582,11,22.0,0.5,23,27,0.852,5.0,31.0,36.0,22,6.0,3,8,16,7.0
CLE,0021801037,CLE @ DAL,L,239,116,40,86,0.465,15,38.0,0.395,21,22,0.955,6.0,27.0,33.0,20,1.0,0,6,20,-5.0
CLE,0021801021,CLE @ ORL,L,240,91,35,86,0.407,7,31.0,0.226,14,15,0.933,8.0,35.0,43.0,13,4.0,4,15,18,-29.0
CLE,0021801008,CLE @ PHI,L,239,99,40,101,0.396,13,38.0,0.342,6,8,0.75,9.0,28.0,37.0,14,8.0,2,7,17,-7.0
CLE,0021801001,CLE vs. TOR,W,241,126,44,94,0.468,18,41.0,0.439,20,21,0.952,11.0,40.0,51.0,27,8.0,1,12,19,25.0
CLE,0021800979,CLE @ MIA,L,242,110,39,81,0.481,19,43.0,0.442,13,16,0.813,6.0,22.0,28.0,28,6.0,1,15,25,-16.0
CLE,0021800969,CLE @ BKN,L,239,107,35,87,0.402,16,38.0,0.421,21,29,0.724,11.0,36.0,47.0,23,7.0,3,17,22,-6.0
CLE,0021800948,CLE vs. ORL,W,241,107,36,83,0.434,14,43.0,0.326,21,23,0.913,9.0,35.0,44.0,20,7.0,2,11,15,14.0
CLE,0021800935,CLE vs. DET,L,240,93,27,79,0.342,13,34.0,0.382,26,32,0.813,9.0,24.0,33.0,15,7.0,1,12,19,-36.0
CLE,0021800924,CLE @ NYK,W,239,125,41,80,0.513,14,34.0,0.412,29,36,0.806,8.0,32.0,40.0,24,5.0,3,11,20,7.0
CLE,0021800898,CLE vs. POR,L,242,110,37,89,0.416,13,34.0,0.382,23,26,0.885,13.0,27.0,40.0,22,4.0,1,7,20,-13.0
CLE,0021800885,CLE vs. MEM,W,240,112,39,88,0.443,16,42.0,0.381,18,23,0.783,14.0,38.0,52.0,25,6.0,3,18,26,5.0
CLE,0021800867,CLE vs. PHX,W,239,111,42,85,0.494,13,36.0,0.361,14,20,0.7,10.0,41.0,51.0,34,11.0,4,15,23,13.0
CLE,0021800853,CLE vs. BKN,L,315,139,54,120,0.45,18,42.0,0.429,13,18,0.722,18.0,39.0,57.0,35,7.0,4,15,37,-9.0
CLE,0021800839,CLE vs. NYK,W,240,107,38,95,0.4,14,44.0,0.318,17,19,0.895,17.0,39.0,56.0,20,6.0,2,18,16,3.0
CLE,0021800826,CLE @ IND,L,241,90,35,79,0.443,16,36.0,0.444,4,9,0.444,5.0,25.0,30.0,23,3.0,2,12,13,-15.0
CLE,0021800819,CLE @ WAS,L,240,106,36,96,0.375,12,38.0,0.316,22,25,0.88,17.0,35.0,52.0,21,6.0,3,14,16,-13.0
CLE,0021800797,CLE vs. BOS,L,241,96,40,96,0.417,9,33.0,0.273,7,8,0.875,15.0,32.0,47.0,21,6.0,0,12,17,-7.0
CLE,0021800780,CLE vs. DAL,L,240,98,34,85,0.4,4,23.0,0.174,26,33,0.788,11.0,33.0,44.0,20,7.0,2,6,22,-13.0
CLE,0021800749,CLE vs. WAS,W,240,116,45,84,0.536,15,34.0,0.441,11,24,0.458,7.0,41.0,48.0,30,3.0,2,15,21,3.0
CLE,0021800735,CLE @ CHI,W,240,104,39,92,0.424,13,34.0,0.382,13,15,0.867,12.0,40.0,52.0,26,5.0,3,8,13,3.0
CLE,0021800722,CLE vs. MIA,L,240,94,37,85,0.435,10,30.0,0.333,10,13,0.769,9.0,33.0,42.0,23,8.0,2,13,21,-6.0
CLE,0021800707,CLE @ BOS,L,241,103,38,87,0.437,13,30.0,0.433,14,20,0.7,15.0,29.0,44.0,20,4.0,4,20,18,-20.0
CLE,0021800692,CLE vs. CHI,L,240,88,31,87,0.356,6,27.0,0.222,20,29,0.69,11.0,27.0,38.0,16,8.0,4,14,18,-16.0
CLE,0021800687,CLE @ DEN,L,240,102,35,72,0.486,10,29.0,0.345,22,26,0.846,5.0,23.0,28.0,20,5.0,1,12,15,-22.0
CLE,0021800675,CLE @ UTA,L,240,99,36,87,0.414,7,24.0,0.292,20,26,0.769,6.0,31.0,37.0,16,9.0,3,14,19,-16.0
CLE,0021800662,CLE @ POR,L,241,112,45,95,0.474,6,19.0,0.316,16,19,0.842,12.0,29.0,41.0,17,0.0,5,3,18,-17.0
CLE,0021800644,CLE @ LAL,W,239,101,38,89,0.427,8,21.0,0.381,17,23,0.739,10.0,42.0,52.0,18,5.0,2,10,21,6.0
CLE,0021800625,CLE @ HOU,L,240,113,40,89,0.449,9,33.0,0.273,24,26,0.923,6.0,33.0,39.0,24,12.0,4,13,24,-28.0
CLE,0021800612,CLE @ NOP,L,240,124,42,88,0.477,14,30.0,0.467,26,30,0.867,9.0,22.0,31.0,27,7.0,3,13,30,-16.0
CLE,0021800599,CLE vs. IND,L,239,115,41,76,0.539,13,29.0,0.448,20,23,0.87,8.0,27.0,35.0,24,4.0,3,16,20,-8.0
CLE,0021800579,CLE vs. NOP,L,241,98,36,88,0.409,12,33.0,0.364,14,18,0.778,10.0,24.0,34.0,22,12.0,3,17,23,-35.0
CLE,0021800567,CLE vs. UTA,L,241,91,32,82,0.39,11,21.0,0.524,16,17,0.941,7.0,32.0,39.0,14,6.0,1,13,21,-26.0
CLE,0021800555,CLE vs. MIA,L,239,92,34,75,0.453,13,31.0,0.419,11,13,0.846,2.0,20.0,22.0,23,8.0,3,12,16,-25.0
CLE,0021800529,CLE @ ATL,L,241,108,40,85,0.471,5,23.0,0.217,23,29,0.793,10.0,34.0,44.0,27,9.0,2,12,23,-3.0
CLE,0021800521,CLE @ MIA,L,241,94,31,81,0.383,13,37.0,0.351,19,22,0.864,9.0,33.0,42.0,21,6.0,2,14,15,-24.0
CLE,0021800508,CLE @ MEM,L,241,87,33,93,0.355,9,29.0,0.31,12,15,0.8,19.0,34.0,53.0,19,9.0,1,16,21,-8.0
CLE,0021800490,CLE vs. CHI,L,241,92,38,84,0.452,7,23.0,0.304,9,14,0.643,7.0,24.0,31.0,11,5.0,2,11,20,-20.0
CLE,0021800470,CLE @ TOR,L,240,110,39,82,0.476,9,24.0,0.375,23,30,0.767,11.0,29.0,40.0,20,5.0,5,11,23,-16.0
CLE,0021800455,CLE @ CHA,L,240,99,41,85,0.482,10,23.0,0.435,7,12,0.583,4.0,31.0,35.0,24,8.0,6,7,18,-11.0
CLE,0021800451,CLE @ IND,W,239,92,38,91,0.418,6,31.0,0.194,10,13,0.769,12.0,39.0,51.0,19,7.0,5,9,16,1.0
CLE,0021800437,CLE vs. PHI,L,241,105,41,88,0.466,12,30.0,0.4,11,17,0.647,6.0,27.0,33.0,28,8.0,0,12,20,-23.0
CLE,0021800423,CLE vs. MIL,L,241,102,35,87,0.402,13,36.0,0.361,19,21,0.905,13.0,37.0,50.0,24,7.0,2,15,24,-12.0
CLE,0021800406,CLE vs. NYK,W,241,113,43,91,0.473,10,34.0,0.294,17,21,0.81,12.0,39.0,51.0,19,7.0,4,12,18,7.0
CLE,0021800395,CLE @ MIL,L,240,92,36,96,0.375,10,30.0,0.333,10,15,0.667,8.0,38.0,46.0,24,5.0,2,9,15,-16.0
CLE,0021800381,CLE vs. WAS,W,239,116,47,89,0.528,15,31.0,0.484,7,10,0.7,12.0,37.0,49.0,26,5.0,5,7,20,15.0
CLE,0021800372,CLE vs. SAC,L,242,110,43,81,0.531,10,26.0,0.385,14,19,0.737,7.0,28.0,35.0,20,4.0,0,16,17,-19.0
CLE,0021800355,CLE vs. GSW,L,240,105,39,89,0.438,11,32.0,0.344,16,23,0.696,12.0,29.0,41.0,17,7.0,2,10,19,-24.0
CLE,0021800345,CLE @ BKN,W,240,99,38,88,0.432,4,15.0,0.267,19,20,0.95,14.0,41.0,55.0,15,5.0,4,9,17,2.0
