Team1,Team1Score,Team2,Team2Score
Brooklyn Nets,97,Milwaukee Bucks,103
Atlanta Hawks,117,Minnesota Timberwolves,105
Utah Jazz,100,New Orleans Pelicans,96
Los Angeles Clippers,115,Dallas Mavericks,98
Oklahoma City Thunder,124,Denver Nuggets,114
Detroit Pistons,106,Charlotte Hornets,78
Sacramento Kings,86,Chicago Bulls,104
Brooklyn Nets,86,Memphis Grizzlies,95
Houston Rockets,127,Phoenix Suns,118
Denver Nuggets,106,Los Angeles Lakers,96
New York Knicks,83,Orlando Magic,89
Atlanta Hawks,88,Boston Celtics,89
San Antonio Spurs,104,Detroit Pistons,87
Washington Wizards,93,Toronto Raptors,95
Miami Heat,93,Cleveland Cavaliers,113
Sacramento Kings,103,Milwaukee Bucks,111
Golden State Warriors,94,Minnesota Timberwolves,91
Indiana Pacers,106,New Orleans Pelicans,93
Memphis Grizzlies,89,Oklahoma City Thunder,105
Utah Jazz,82,Dallas Mavericks,87
Los Angeles Lakers,86,Portland Trail Blazers,102
Houston Rockets,95,Los Angeles Clippers,110
Cleveland Cavaliers,98,Chicago Bulls,113
Dallas Mavericks,89,Oklahoma City Thunder,104
San Antonio Spurs,115,Los Angeles Clippers,119
New Orleans Pelicans,84,Orlando Magic,95
Indiana Pacers,106,Philadelphia 76ers,95
Toronto Raptors,105,Atlanta Hawks,80
Chicago Bulls,91,Detroit Pistons,100
Miami Heat,111,New York Knicks,87
Phoenix Suns,109,Minnesota Timberwolves,111
Cleveland Cavaliers,127,Washington Wizards,89
Houston Rockets,100,Dallas Mavericks,111
Denver Nuggets,81,Milwaukee Bucks,89
Portland Trail Blazers,76,Utah Jazz,92
Boston Celtics,101,Sacramento Kings,109
San Antonio Spurs,99,Golden State Warriors,110
Brooklyn Nets,114,Los Angeles Lakers,105
Oklahoma City Thunder,110,Charlotte Hornets,103
New Orleans Pelicans,105,Miami Heat,91
Phoenix Suns,107,Chicago Bulls,112
Toronto Raptors,76,Houston Rockets,98
Sacramento Kings,99,Los Angeles Clippers,126
Cleveland Cavaliers,101,New York Knicks,83
Washington Wizards,89,Detroit Pistons,106
Atlanta Hawks,97,Milwaukee Bucks,86
Golden State Warriors,98,Indiana Pacers,104
Philadelphia 76ers,98,Orlando Magic,103
Denver Nuggets,94,Oklahoma City Thunder,119
Charlotte Hornets,81,Dallas Mavericks,92
Memphis Grizzlies,98,Portland Trail Blazers,92
Boston Celtics,111,Los Angeles Lakers,118
Philadelphia 76ers,108,Miami Heat,119
Milwaukee Bucks,71,Chicago Bulls,87
Minnesota Timberwolves,102,Houston Rockets,113
Toronto Raptors,97,New Orleans Pelicans,100
Brooklyn Nets,110,Denver Nuggets,82
Boston Celtics,115,Phoenix Suns,110
San Antonio Spurs,81,Utah Jazz,90
Memphis Grizzlies,90,Los Angeles Clippers,87
Golden State Warriors,114,Washington Wizards,107
Cleveland Cavaliers,102,Detroit Pistons,93
Indiana Pacers,92,Oklahoma City Thunder,105
Toronto Raptors,92,Dallas Mavericks,99
Miami Heat,93,Orlando Magic,90
Dallas Mavericks,87,Atlanta Hawks,104
New York Knicks,94,Boston Celtics,115
Charlotte Hornets,98,Chicago Bulls,86
Los Angeles Clippers,105,Houston Rockets,110
Philadelphia 76ers,88,Milwaukee Bucks,104
Washington Wizards,77,Minnesota Timberwolves,97
Brooklyn Nets,96,New Orleans Pelicans,102
Phoenix Suns,110,Denver Nuggets,96
Los Angeles Lakers,100,Utah Jazz,97
Memphis Grizzlies,90,Sacramento Kings,102
San Antonio Spurs,95,Portland Trail Blazers,111
Golden State Warriors,99,Cleveland Cavaliers,110
Oklahoma City Thunder,113,Phoenix Suns,117
Cleveland Cavaliers,86,Indiana Pacers,93
Washington Wizards,81,Philadelphia 76ers,89
Orlando Magic,88,Atlanta Hawks,95
Charlotte Hornets,98,Boston Celtics,106
New York Knicks,121,Detroit Pistons,115
Golden State Warriors,113,Toronto Raptors,89
Minnesota Timberwolves,89,Chicago Bulls,96
Brooklyn Nets,98,Houston Rockets,102
Los Angeles Clippers,97,Memphis Grizzlies,79
Miami Heat,102,New Orleans Pelicans,104
Utah Jazz,104,Denver Nuggets,82
San Antonio Spurs,107,Sacramento Kings,96
Milwaukee Bucks,93,Los Angeles Lakers,101
Oklahoma City Thunder,112,Portland Trail Blazers,115
Detroit Pistons,95,Washington Wizards,99
Atlanta Hawks,93,Miami Heat,91
Toronto Raptors,98,New York Knicks,103
Memphis Grizzlies,101,Minnesota Timberwolves,97
Brooklyn Nets,104,Dallas Mavericks,94
San Antonio Spurs,101,Phoenix Suns,74
Milwaukee Bucks,75,Utah Jazz,82
