Team1,Team1Score,Team2,Team2Score
New Jersey Nets,90,Seattle SuperSonics,109
San Antonio Spurs,106,Toronto Raptors,103
Detroit Pistons,88,Utah Jazz,95
Miami Heat,108,Washington Bullets,105
Milwaukee Bucks,90,Cleveland Cavaliers,82
San Antonio Spurs,102,Indiana Pacers,98
Detroit Pistons,91,Los Angeles Clippers,85
Atlanta Hawks,114,Boston Celtics,90
Miami Heat,76,Charlotte Hornets,82
Houston Rockets,88,Dallas Mavericks,83
Sacramento Kings,98,Golden State Warriors,102
New Jersey Nets,105,Los Angeles Lakers,115
Utah Jazz,115,Minnesota Timberwolves,106
Chicago Bulls,93,New York Knicks,97
Orlando Magic,85,Phoenix Suns,121
Seattle SuperSonics,93,Portland Trail Blazers,103
Vancouver Grizzlies,77,Toronto Raptors,81
Philadelphia 76ers,99,Washington Bullets,93
Golden State Warriors,106,Los Angeles Clippers,112
Utah Jazz,99,Atlanta Hawks,106
Chicago Bulls,117,Boston Celtics,106
Vancouver Grizzlies,92,Charlotte Hornets,98
New York Knicks,83,Dallas Mavericks,91
Orlando Magic,96,Denver Nuggets,91
Miami Heat,108,Milwaukee Bucks,93
Philadelphia 76ers,100,Minnesota Timberwolves,104
Toronto Raptors,105,Phoenix Suns,101
Los Angeles Clippers,105,Portland Trail Blazers,109
Cleveland Cavaliers,88,Sacramento Kings,85
Houston Rockets,103,San Antonio Spurs,79
Detroit Pistons,80,Seattle SuperSonics,93
Orlando Magic,96,Houston Rockets,95
Atlanta Hawks,82,Indiana Pacers,92
Golden State Warriors,101,Los Angeles Lakers,109
Utah Jazz,117,New Jersey Nets,102
Chicago Bulls,108,Philadelphia 76ers,104
Vancouver Grizzlies,82,Washington Bullets,104
Boston Celtics,107,Dallas Mavericks,109
Detroit Pistons,102,Denver Nuggets,82
Cleveland Cavaliers,95,Golden State Warriors,101
Phoenix Suns,112,Los Angeles Clippers,96
Seattle SuperSonics,108,Minnesota Timberwolves,92
Toronto Raptors,103,Sacramento Kings,96
Seattle SuperSonics,97,Atlanta Hawks,91
Utah Jazz,105,Indiana Pacers,96
Los Angeles Clippers,97,Los Angeles Lakers,95
Vancouver Grizzlies,82,Miami Heat,88
Washington Bullets,105,Milwaukee Bucks,96
Chicago Bulls,98,New Jersey Nets,99
Charlotte Hornets,81,Orlando Magic,86
Minnesota Timberwolves,95,Philadelphia 76ers,109
Cleveland Cavaliers,73,Portland Trail Blazers,96
Boston Celtics,92,San Antonio Spurs,103
Atlanta Hawks,79,Chicago Bulls,99
San Antonio Spurs,105,Denver Nuggets,121
Toronto Raptors,102,Golden State Warriors,106
Charlotte Hornets,107,Philadelphia 76ers,99
Dallas Mavericks,76,Phoenix Suns,101
Utah Jazz,100,Washington Bullets,93
Seattle SuperSonics,83,Detroit Pistons,86
Portland Trail Blazers,106,Los Angeles Clippers,94
Toronto Raptors,90,Los Angeles Lakers,98
Houston Rockets,80,Miami Heat,101
Indiana Pacers,98,Milwaukee Bucks,102
Boston Celtics,101,Minnesota Timberwolves,119
New Jersey Nets,89,New York Knicks,74
Vancouver Grizzlies,89,Orlando Magic,100
Dallas Mavericks,89,Sacramento Kings,88
Orlando Magic,107,Atlanta Hawks,112
Milwaukee Bucks,117,Boston Celtics,126
Utah Jazz,114,Charlotte Hornets,93
Detroit Pistons,82,Cleveland Cavaliers,85
Los Angeles Lakers,113,Denver Nuggets,94
Phoenix Suns,116,Golden State Warriors,95
Washington Bullets,109,San Antonio Spurs,85
Seattle SuperSonics,87,Chicago Bulls,89
Washington Bullets,86,Dallas Mavericks,85
Minnesota Timberwolves,97,Indiana Pacers,115
Houston Rockets,97,New Jersey Nets,89
Vancouver Grizzlies,73,New York Knicks,98
Los Angeles Clippers,121,Phoenix Suns,111
Sacramento Kings,87,Portland Trail Blazers,92
Philadelphia 76ers,105,Toronto Raptors,117
Indiana Pacers,95,Atlanta Hawks,107
Utah Jazz,113,Boston Celtics,100
Cleveland Cavaliers,72,Charlotte Hornets,90
Toronto Raptors,99,Detroit Pistons,97
Sacramento Kings,98,Los Angeles Clippers,108
Golden State Warriors,91,Miami Heat,93
Vancouver Grizzlies,72,Minnesota Timberwolves,95
New York Knicks,111,Philadelphia 76ers,100
Los Angeles Lakers,89,Cleveland Cavaliers,76
Washington Bullets,90,Houston Rockets,96
Portland Trail Blazers,97,Milwaukee Bucks,78
Golden State Warriors,95,Orlando Magic,100
San Antonio Spurs,106,Phoenix Suns,113
Denver Nuggets,97,Seattle SuperSonics,123
Dallas Mavericks,72,Atlanta Hawks,93
Orlando Magic,104,Boston Celtics,99
Minnesota Timberwolves,98,Detroit Pistons,112
Chicago Bulls,117,Indiana Pacers,98
Los Angeles Lakers,97,Miami Heat,98
New Jersey Nets,110,Philadelphia 76ers,112
San Antonio Spurs,110,Sacramento Kings,114
Charlotte Hornets,102,Toronto Raptors,97
Denver Nuggets,101,Vancouver Grizzlies,108
Golden State Warriors,93,Charlotte Hornets,100
Detroit Pistons,88,Chicago Bulls,103
Cleveland Cavaliers,75,Dallas Mavericks,72
Phoenix Suns,104,Houston Rockets,99
New York Knicks,79,Milwaukee Bucks,80
Sacramento Kings,99,Seattle SuperSonics,113
Los Angeles Clippers,94,Utah Jazz,107
Portland Trail Blazers,104,Washington Bullets,108
New Jersey Nets,100,Boston Celtics,91
