Team1,Team1Score,Team2,Team2Score
Houston Rockets,96,Minnesota Timberwolves,94
Washington Bullets,73,New York Knicks,85
San Antonio Spurs,76,Phoenix Suns,93
Orlando Magic,99,Portland Trail Blazers,93
Los Angeles Lakers,92,Sacramento Kings,90
Golden State Warriors,101,Toronto Raptors,91
Indiana Pacers,86,Utah Jazz,110
Toronto Raptors,113,Boston Celtics,115
Denver Nuggets,97,Charlotte Hornets,101
Minnesota Timberwolves,86,Chicago Bulls,103
Indiana Pacers,76,Los Angeles Lakers,79
Seattle SuperSonics,101,New Jersey Nets,110
Miami Heat,84,Philadelphia 76ers,79
Cleveland Cavaliers,95,Washington Bullets,106
Detroit Pistons,96,Houston Rockets,115
San Antonio Spurs,94,Los Angeles Clippers,97
Seattle SuperSonics,97,Milwaukee Bucks,100
Golden State Warriors,79,New York Knicks,90
Vancouver Grizzlies,78,Portland Trail Blazers,99
Dallas Mavericks,86,Sacramento Kings,93
Phoenix Suns,95,Utah Jazz,87
Philadelphia 76ers,75,Charlotte Hornets,84
Golden State Warriors,87,Cleveland Cavaliers,101
Boston Celtics,94,Indiana Pacers,97
Portland Trail Blazers,119,Los Angeles Lakers,120
Phoenix Suns,105,Minnesota Timberwolves,108
Chicago Bulls,113,New Jersey Nets,92
Orlando Magic,93,Vancouver Grizzlies,95
Denver Nuggets,104,Washington Bullets,108
Philadelphia 76ers,81,Atlanta Hawks,106
Charlotte Hornets,82,Chicago Bulls,87
Sacramento Kings,94,Los Angeles Clippers,106
Toronto Raptors,88,Miami Heat,89
New Jersey Nets,91,Milwaukee Bucks,101
Cleveland Cavaliers,101,Minnesota Timberwolves,93
Denver Nuggets,82,New York Knicks,89
Dallas Mavericks,105,San Antonio Spurs,106
Houston Rockets,109,Seattle SuperSonics,100
Orlando Magic,68,Utah Jazz,101
Boston Celtics,89,Detroit Pistons,99
Washington Bullets,110,Golden State Warriors,102
Vancouver Grizzlies,84,Phoenix Suns,103
Houston Rockets,99,Portland Trail Blazers,89
Milwaukee Bucks,107,Boston Celtics,91
Phoenix Suns,121,Los Angeles Clippers,122
Washington Bullets,97,Sacramento Kings,89
Detroit Pistons,98,Toronto Raptors,92
Los Angeles Lakers,123,Chicago Bulls,129
Atlanta Hawks,109,Dallas Mavericks,73
Indiana Pacers,103,Miami Heat,89
Toronto Raptors,97,New Jersey Nets,88
Utah Jazz,94,New York Knicks,99
Charlotte Hornets,93,Philadelphia 76ers,84
Golden State Warriors,83,Seattle SuperSonics,123
Houston Rockets,92,Vancouver Grizzlies,93
New Jersey Nets,81,Cleveland Cavaliers,99
Sacramento Kings,79,Denver Nuggets,95
New York Knicks,78,Detroit Pistons,112
Minnesota Timberwolves,96,Golden State Warriors,123
Los Angeles Lakers,111,Milwaukee Bucks,105
Indiana Pacers,102,Orlando Magic,95
Washington Bullets,107,Phoenix Suns,114
Seattle SuperSonics,106,Portland Trail Blazers,102
Chicago Bulls,93,Charlotte Hornets,72
San Antonio Spurs,115,Houston Rockets,101
Washington Bullets,102,Los Angeles Clippers,93
Utah Jazz,94,Miami Heat,87
Minnesota Timberwolves,105,Sacramento Kings,112
Milwaukee Bucks,93,Toronto Raptors,96
Dallas Mavericks,105,Vancouver Grizzlies,98
New Jersey Nets,95,Atlanta Hawks,109
Toronto Raptors,82,Cleveland Cavaliers,91
Vancouver Grizzlies,93,Denver Nuggets,108
Detroit Pistons,84,Indiana Pacers,75
Utah Jazz,98,Orlando Magic,93
New York Knicks,110,Philadelphia 76ers,103
