Team1,Team1Score,Team2,Team2Score
Denver Nuggets,86,Cleveland Cavaliers,101
Minnesota Timberwolves,70,Los Angeles Clippers,81
Atlanta Hawks,85,Los Angeles Lakers,92
San Antonio Spurs,81,Portland Trail Blazers,94
New York Knicks,101,Vancouver Grizzlies,82
Phoenix Suns,79,Chicago Bulls,97
Seattle SuperSonics,110,Sacramento Kings,94
Denver Nuggets,104,Toronto Raptors,93
Cleveland Cavaliers,83,Atlanta Hawks,87
Indiana Pacers,82,Dallas Mavericks,103
Los Angeles Lakers,126,Houston Rockets,115
Charlotte Hornets,97,Miami Heat,105
Phoenix Suns,89,Milwaukee Bucks,99
Portland Trail Blazers,97,Minnesota Timberwolves,100
Philadelphia 76ers,101,New York Knicks,97
Golden State Warriors,102,Seattle SuperSonics,121
Los Angeles Clippers,99,Vancouver Grizzlies,92
Detroit Pistons,92,Washington Bullets,79
Atlanta Hawks,85,Boston Celtics,103
Miami Heat,71,Chicago Bulls,103
Portland Trail Blazers,70,Cleveland Cavaliers,81
Denver Nuggets,94,Detroit Pistons,95
Washington Bullets,106,New Jersey Nets,91
Los Angeles Lakers,83,San Antonio Spurs,95
Philadelphia 76ers,98,Toronto Raptors,110
Sacramento Kings,74,Utah Jazz,105
Milwaukee Bucks,86,Golden State Warriors,95
Indiana Pacers,88,Houston Rockets,90
Seattle SuperSonics,94,Los Angeles Clippers,78
Dallas Mavericks,90,Minnesota Timberwolves,100
Toronto Raptors,96,New York Knicks,99
Charlotte Hornets,89,Orlando Magic,96
Phoenix Suns,89,Vancouver Grizzlies,92
Miami Heat,77,Atlanta Hawks,85
Denver Nuggets,82,Boston Celtics,80
Chicago Bulls,110,Charlotte Hornets,87
Washington Bullets,84,Detroit Pistons,95
Los Angeles Clippers,100,Los Angeles Lakers,107
Portland Trail Blazers,93,New Jersey Nets,85
Cleveland Cavaliers,105,Philadelphia 76ers,89
Milwaukee Bucks,99,Sacramento Kings,103
Indiana Pacers,93,San Antonio Spurs,78
Vancouver Grizzlies,96,Utah Jazz,104
Atlanta Hawks,69,Chicago Bulls,97
Detroit Pistons,102,Cleveland Cavaliers,98
Utah Jazz,88,Dallas Mavericks,87
Golden State Warriors,103,Houston Rockets,115
Philadelphia 76ers,91,Miami Heat,89
Denver Nuggets,99,New Jersey Nets,106
Minnesota Timberwolves,79,New York Knicks,82
Toronto Raptors,87,Orlando Magic,92
Sacramento Kings,96,Seattle SuperSonics,108
Boston Celtics,92,Washington Bullets,106
Portland Trail Blazers,88,Indiana Pacers,83
